quiz_persona,inferred_outfit_type,age_group,shopping_style,style_vibe,color_palette,season,price_band,outfit_slot,article_id,prod_name,product_type_name,garment_group_name,colour_group_name,detail_desc,image_path,purchase_count
Cozy budget winter basics,top_bottom_outfit,35-44,mostly_online,cozy,neutral_dark,autumn_winter,budget,top,0537116001,Tara turtleneck top,Sweater,Jersey Fancy,Black,"Fitted, long-sleeved, polo-neck top in soft jersey.",images/053/0537116001.jpg,741
Cozy budget winter basics,top_bottom_outfit,35-44,mostly_online,cozy,neutral_dark,autumn_winter,budget,bottom,0659322001,Britney Skirt,Skirt,Knitwear,Black,"Patterned skirt in a soft, fine knit with an elasticated waist and ribbed hem.",images/065/0659322001.jpg,42
Cozy budget winter basics,top_bottom_outfit,35-44,mostly_online,cozy,neutral_dark,autumn_winter,budget,accessory,0673396002,Ringo hipbelt,Belt,Accessories,Black,Belt in grained imitation leather with a metal buckle. Width approx. 2.2 cm.,images/067/0673396002.jpg,633
Cozy budget winter basics,top_bottom_outfit,35-44,mostly_online,cozy,neutral_dark,autumn_winter,budget,shoes,0622963008,Hansel Boot,Boots,Shoes,Black,Chelsea boots in imitation leather with elastic gores in the sides and a loop at the back. Fabric linings and insoles and rubber soles. Heel 2 cm.,images/062/0622963008.jpg,32
Gen Z colorful online trend seeker,dress_outfit,16-24,mostly_online,statement_trendy,colorful,spring_summer,mid_range,dress,0714828001,Evelyn midi dress,Dress,Dresses Ladies,Red,"Calf-length dress in a crinkled weave with a V-neck, wrapover front with ties at the waist and short sleeves with a slit and ties. Unlined.",images/071/0714828001.jpg,423
Gen Z colorful online trend seeker,dress_outfit,16-24,mostly_online,statement_trendy,colorful,spring_summer,mid_range,accessory,0750197001,Maggie no rim,Sunglasses,Accessories,Pink,"Sunglasses with concealed frames and angular, UV-protective, tinted lenses.",images/075/0750197001.jpg,84
Gen Z colorful online trend seeker,dress_outfit,16-24,mostly_online,statement_trendy,colorful,spring_summer,mid_range,shoes,0808687002,Gamma sandalette,Heeled sandals,Shoes,Pink,"Sandals in imitation leather with square toes, narrow straps that tie around the ankle and covered heels. Imitation leather insoles. Heel 4.5 cm.",images/080/0808687002.jpg,147
Polished neutral city shopper,top_bottom_outfit,25-34,mostly_store,polished,neutral_dark,all_year,premium,top,0568601006,Mariette Blazer,Blazer,Dressed,Black,"Fitted jacket in woven fabric with notch lapels, jetted front pockets, a decorative button at the cuffs and a single back vent. Lined.",images/056/0568601006.jpg,1656
Polished neutral city shopper,top_bottom_outfit,25-34,mostly_store,polished,neutral_dark,all_year,premium,bottom,0840024001,Lawrence HW tapered trousers,Trousers,Blouses,Black,"Trousers in a cupro weave with a high waist, pleats at the top for added width, and a zip fly and button. Diagonal side pockets, fake welt back pockets and tapered legs.",images/084/0840024001.jpg,29
Polished neutral city shopper,top_bottom_outfit,25-34,mostly_store,polished,neutral_dark,all_year,premium,accessory,0639448001,Day tote,Bag,Accessories,Black,"Spacious handbag in sturdy, grained imitation leather with two handles and a zip at the top. Three inner compartments, one with a zip, and studs on the bottom. Lined. Size 15x30x36 cm.",images/063/0639448001.jpg,406
Polished neutral city shopper,top_bottom_outfit,25-34,mostly_store,polished,neutral_dark,all_year,premium,shoes,0556438001,Amelie pump,Pumps,Shoes,Black,"Court shoes in imitation suede with pointed toes and covered block heels. Satin linings, imitation leather insoles and thermoplastic rubber (TPR) soles. Heel 7.5 cm.",images/055/0556438001.jpg,209
Soft casual everyday outfit,top_bottom_outfit,25-34,no_preference,casual_basics,soft_light,spring_summer,mid_range,top,0749699002,Chestnut strap top,Vest top,Jersey Fancy,Off White,Top in viscose jersey with a V-neck front and back and spaghetti shoulder straps. Jersey lining.,images/074/0749699002.jpg,5972
Soft casual everyday outfit,top_bottom_outfit,25-34,no_preference,casual_basics,soft_light,spring_summer,mid_range,bottom,0573716053,Kanta slacks RW,Trousers,Trousers,White,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems.",images/057/0573716053.jpg,1675
Soft casual everyday outfit,top_bottom_outfit,25-34,no_preference,casual_basics,soft_light,spring_summer,mid_range,accessory,0451744018,Joel straw shopper,Bag,Accessories,Beige,"Shopper in paper straw with two imitation leather handles and a zip at the top. Two inner compartments, one with a zip. Lined. Depth 17 cm. Height 38 cm. Width 38 cm.",images/045/0451744018.jpg,411
Soft casual everyday outfit,top_bottom_outfit,25-34,no_preference,casual_basics,soft_light,spring_summer,mid_range,shoes,0470985003,Vaughan sneaker,Sneakers,Shoes,White,Trainers in cotton canvas with lacing at the front and a loop at the back. Cotton linings and insoles and thermoplastic rubber (TPR) soles.,images/047/0470985003.jpg,469
